yob,nkid,dep,phon,sinc,aes,dainc,res,dhval,dmort,doutm,doutl,douthp,doutcc,bad
62,0,0,1,10000,"P",15000,"O",34464,2464,548,0,0,0,0
49,1,0,0,0,"P",10500,"O",10464,36000,348,0,0,0,0
16,0,0,1,0,"R",0,"O",0,0,0,0,0,0,0
32,0,0,1,6000,"P",30000,"O",27392,10000,100,720,0,200,0
52,0,0,1,0,"P",14040,"P",0,0,0,120,0,40,1
63,0,0,1,0,"V",20250,"O",6464,60000,436,0,0,0,1
25,0,0,1,0,"R",0,"O",54464,4,0,0,0,0,0
62,0,0,1,0,"P",26520,"P",0,0,0,0,72,0,0
65,0,0,0,0,"V",9276,"N",0,0,96,0,0,0,0
16,0,0,1,0,"R",0,"O",2928,4,0,0,0,0,1
66,0,0,0,0,"P",26571,"N",0,0,0,0,0,0,1
48,2,0,1,0,"P",9464,"O",17856,2464,0,0,0,0,0
33,2,0,1,1500,"B",464,"O",3392,56000,448,400,0,0,0
49,0,0,0,0,"P",16500,"P",0,0,0,0,0,0,1
63,0,0,1,0,"P",24000,"O",10464,0,740,0,0,0,0
62,0,0,0,4700,"P",15000,"O",48000,0,320,328,0,0,0
57,1,0,1,0,"W",0,"O",0,0,0,0,0,0,0
60,0,0,1,0,"P",13284,"N",0,0,0,188,0,0,0
19,0,0,1,0,"R",6846,"N",0,0,0,0,0,0,1
33,0,0,1,9000,"P",13434,"O",42464,56000,240,0,0,80,0
44,1,0,1,0,"P",15000,"O",43392,4,0,0,0,0,0
59,1,1,0,0,"P",35460,"O",12928,62464,900,0,0,44,1
57,0,0,1,0,"M",33000,"P",0,0,520,0,0,0,0
68,0,0,1,0,"T",0,"P",0,0,0,0,0,0,0
65,0,0,1,0,"P",21000,"P",0,0,0,800,0,0,0
51,2,0,1,0,"P",21000,"O",50464,0,0,0,0,40,0
50,2,0,1,7518,"P",27000,"O",54464,54800,384,0,160,0,0
47,2,0,1,0,"P",33000,"O",18464,32000,276,0,316,292,0
34,1,0,0,0,"V",24900,"O",63392,4,0,280,0,0,0
65,0,0,1,0,"T",0,"F",0,0,0,0,0,0,0
30,0,0,1,0,"E",9464,"O",0,0,0,0,0,0,1
45,1,0,1,8000,"E",24000,"O",32320,0,0,0,0,0,1
65,0,0,1,0,"P",20100,"P",0,0,0,256,0,0,0
55,2,0,1,17000,"W",0,"O",10176,54464,0,0,0,0,0
54,0,0,1,6700,"P",46500,"O",58464,2464,480,0,0,0,0
48,2,1,1,0,"W",0,"O",35392,4928,0,0,0,0,1
43,1,0,1,0,"W",0,"O",10176,0,0,0,0,0,0
60,0,0,1,0,"V",15390,"P",0,0,0,0,0,0,0
56,0,0,1,0,"P",10500,"F",34464,0,0,0,0,0,0
24,0,0,1,0,"E",30000,"O",44928,0,0,0,0,0,1
56,0,0,1,0,"P",21000,"U",0,0,160,228,0,0,0
67,0,0,1,0,"T",0,"P",0,0,0,0,0,0,0
61,0,0,1,0,"T",0,"P",0,0,0,0,0,0,0
55,0,0,1,17446,"W",0,"F",0,0,0,0,0,0,0
63,0,0,0,0,"U",0,"F",0,0,0,0,0,0,1
51,2,0,1,2000,"V",39000,"O",62464,18464,660,416,0,0,0
56,1,0,1,0,"P",33000,"U",0,0,120,280,0,0,0
68,0,0,1,0,"V",17739,"P",0,0,0,0,0,0,0
32,0,1,1,2152,"B",36969,"F",0,0,464,184,0,0,0
50,0,0,1,7000,"V",36000,"O",3392,40000,400,0,0,0,0
63,0,0,1,6000,"M",24600,"O",34464,0,608,460,0,0,0
53,1,0,1,0,"P",21135,"U",0,0,200,0,0,0,0
47,0,0,1,19500,"P",13500,"O",27392,16928,0,0,0,280,0
54,2,0,1,6984,"P",22500,"O",46464,2464,492,180,80,160,0
65,0,0,0,0,"V",17100,"N",0,0,240,0,0,0,0
46,1,0,1,0,"V",9768,"P",0,0,0,0,0,120,0
61,0,0,1,6420,"P",19200,"N",0,0,0,392,0,0,1
52,2,0,1,0,"V",12048,"O",18928,7696,92,248,0,0,0
23,0,0,1,0,"P",22500,"O",34464,4,0,0,0,0,0
67,0,0,1,0,"T",0,"N",0,0,0,0,0,0,0
61,0,0,1,2400,"P",21900,"O",8464,8464,532,0,0,0,0
26,0,0,1,0,"R",6885,"O",34464,4,0,0,0,0,0
62,1,0,1,9000,"P",42000,"O",54464,0,800,0,0,0,0
56,1,0,1,14226,"V",28797,"O",4928,46464,776,0,0,0,0
61,0,0,1,13000,"V",42000,"O",54464,34464,720,0,80,0,0
51,0,0,1,2230,"E",24464,"P",28928,0,0,0,928,0,0
59,0,0,1,2000,"E",24000,"U",0,0,160,0,0,0,0
66,0,0,1,0,"P",28800,"P",0,0,0,0,0,240,0
50,2,0,1,3000,"P",19500,"O",8928,0,784,0,120,24,0
67,0,0,1,0,"M",14400,"N",0,0,0,0,0,0,1
65,0,0,1,0,"P",21000,"P",0,0,320,0,0,40,0
17,0,0,1,0,"R",18000,"O",17856,4,0,0,0,0,1
50,2,0,1,0,"P",21000,"U",0,0,484,0,128,0,0
57,0,0,1,0,"V",36600,"O",928,54464,1200,0,0,0,0
54,0,0,1,0,"V",33000,"F",0,0,200,0,0,0,1
42,0,0,1,10000,"P",34800,"O",46464,20000,540,0,0,200,0
43,0,0,1,0,"P",15858,"N",0,0,0,0,0,96,0
29,0,0,1,13000,"V",12000,"O",23392,16000,0,0,0,0,0
11,0,0,1,0,"R",15000,"O",28464,4,0,0,0,0,1
61,1,0,1,0,"E",0,"P",0,0,0,0,0,0,1
67,0,0,1,0,"P",7290,"P",0,0,0,0,0,0,0
21,0,0,1,0,"R",0,"O",8928,4,0,140,0,0,1
67,0,0,1,0,"P",19911,"P",0,0,0,276,0,0,0
38,1,0,1,5000,"P",18000,"U",0,0,400,440,0,0,1
35,0,0,1,0,"P",28152,"O",62464,36000,360,224,240,20,0
64,0,0,1,0,"P",24192,"O",34464,0,684,0,204,0,1
62,0,0,1,0,"P",31812,"P",0,0,200,0,0,240,0
63,0,0,1,0,"P",27000,"F",0,0,0,0,0,0,0
37,1,0,1,2600,"P",13500,"O",37856,4,0,0,0,0,0
32,0,0,1,0,"Z",0,"U",0,0,0,0,400,0,0
64,0,0,1,0,"T",0,"P",0,0,0,0,0,0,0
36,0,0,1,0,"W",0,"O",17856,4,0,0,0,0,1
16,0,0,0,0,"R",0,"N",0,0,0,0,0,0,1
40,2,0,1,0,"E",30000,"O",0,0,0,0,0,0,0
28,0,0,1,0,"E",33000,"O",28928,38464,1268,600,0,0,1
29,0,0,1,0,"V",56400,"O",28928,4000,92,0,0,0,0
63,0,0,1,0,"P",23700,"P",0,0,0,320,0,200,0
43,3,0,1,6500,"P",28500,"U",0,0,720,380,0,0,0
24,2,0,1,0,"V",3884,"O",37856,4,0,0,0,0,0
48,1,1,1,2000,"V",45900,"O",36928,22464,800,0,0,0,0
10,0,0,1,0,"R",20250,"O",17856,4,0,0,0,0,1
28,0,0,1,0,"P",27000,"O",23392,0,0,0,0,320,0
46,3,0,1,0,"P",30464,"O",36928,34464,852,560,52,0,0
22,0,0,1,5000,"R",9000,"O",8928,0,0,0,0,0,1
50,0,0,1,0,"E",15600,"O",20928,32000,320,0,0,0,1
53,0,0,1,0,"P",60000,"O",12928,26464,880,0,0,200,0
63,0,0,1,0,"P",24000,"P",0,0,0,0,0,0,0
15,0,0,1,0,"R",15000,"O",48928,4,0,0,0,0,0
63,0,0,1,0,"P",30000,"P",0,0,0,580,0,0,0
46,1,0,1,3000,"E",30000,"O",3392,62464,1200,0,0,100,1
43,0,0,1,0,"V",9360,"F",0,0,408,0,0,0,0
68,0,0,1,0,"P",0,"P",0,0,0,0,0,60,0
46,2,0,1,0,"P",60000,"O",63392,54464,824,0,0,200,1
50,1,0,1,0,"V",54000,"O",37856,54464,1088,0,0,0,1
44,3,0,1,0,"V",49167,"O",12928,56000,308,476,0,56,0
34,1,0,1,2000,"V",36000,"U",0,0,96,200,0,0,0
44,0,0,1,17800,"P",30000,"O",37856,34464,688,0,0,0,0
60,0,0,1,0,"V",37800,"F",0,0,520,400,0,40,0
59,0,0,1,0,"P",45000,"O",8928,54464,1176,0,364,0,1
61,0,0,1,0,"P",18900,"N",0,0,0,200,0,0,0
68,0,0,1,0,"P",13500,"P",0,0,0,0,0,92,0
25,0,0,1,0,"P",57258,"O",43392,4,0,0,1464,0,0
68,0,0,1,0,"P",8112,"P",0,0,0,0,0,0,1
56,0,0,1,0,"P",15600,"F",0,0,480,0,0,0,0
24,0,0,1,0,"Z",13500,"O",8928,4,0,0,0,0,1
41,0,0,1,2500,"P",16113,"U",0,0,640,552,0,0,0
65,0,0,1,0,"P",25500,"F",0,0,480,0,0,0,0
42,0,0,0,0,"P",12000,"P",0,0,0,0,0,0,1
61,0,0,1,0,"P",27540,"O",50464,0,984,0,160,0,0
39,2,0,1,15000,"W",0,"O",43392,4,0,0,0,80,1
26,0,0,1,0,"R",10500,"U",0,0,368,0,0,0,1
64,0,0,1,0,"V",30870,"P",0,0,0,0,0,0,0
31,0,0,1,0,"V",40500,"O",14464,0,0,0,0,0,0
60,2,0,1,10000,"V",18264,"O",14464,0,348,0,340,0,1
66,0,0,1,0,"P",13500,"P",0,0,320,0,0,0,0
9,0,0,1,0,"R",0,"O",0,0,0,0,0,0,0
67,0,0,1,0,"T",0,"P",0,0,0,0,0,0,0
28,0,0,1,0,"P",14400,"O",62464,0,0,0,0,0,0
11,0,0,1,2910,"R",20700,"O",46464,4,0,0,448,0,0
47,1,0,1,0,"P",27000,"U",0,0,576,388,0,0,0
63,0,0,1,0,"V",23460,"F",0,0,800,200,0,0,0
65,0,0,1,0,"V",16500,"P",0,0,0,0,0,0,0
55,2,0,1,4320,"P",21600,"O",46464,46464,744,440,0,0,1
41,0,0,1,0,"V",37620,"O",928,33988,0,420,0,160,0
62,0,0,0,0,"V",18033,"O",54000,38000,296,0,56,80,0
62,0,0,0,0,"V",24327,"P",0,0,280,148,0,40,0
35,0,0,1,2000,"P",27000,"U",0,0,400,0,120,0,0
62,0,0,1,0,"V",32769,"O",25464,22064,640,0,0,0,0
67,0,0,1,0,"P",12300,"P",0,0,0,0,0,0,0
60,0,0,1,8500,"V",40800,"O",2928,53264,960,0,0,0,0
58,1,0,0,14000,"N",9000,"O",8928,0,0,0,0,0,1
27,0,0,1,768,"R",0,"F",0,0,184,0,0,0,1
42,1,0,1,0,"E",25500,"O",54464,57600,424,0,0,0,1
30,0,0,1,2800,"E",14400,"O",64000,32800,268,0,0,0,1
58,0,0,1,0,"P",27000,"P",0,0,0,232,0,0,0
38,3,0,1,15000,"P",5760,"O",63392,34464,744,0,0,0,0
63,0,0,1,0,"V",19500,"F",0,0,0,0,0,0,0
60,1,0,1,0,"P",24000,"O",42464,24464,800,0,440,0,0
33,0,0,1,14000,"V",51000,"O",14464,0,0,0,0,0,0
32,0,0,1,0,"R",16200,"P",0,0,0,0,0,0,0
67,0,0,1,0,"P",19347,"P",0,0,0,0,0,0,0
68,0,0,1,0,"T",5400,"P",0,0,0,0,0,0,1
61,0,0,1,8200,"P",36000,"O",38464,26464,704,0,548,0,0
54,1,0,1,0,"P",53208,"O",1392,14464,800,420,0,200,0
40,3,0,1,0,"V",9014,"O",9856,14464,0,0,0,0,0
47,2,0,1,0,"P",19500,"U",0,0,0,0,0,0,0
45,1,0,1,0,"V",45600,"O",3392,24928,1388,500,0,0,0
18,0,0,1,0,"E",27000,"O",21248,28000,240,0,0,0,0
62,0,0,0,0,"P",22500,"F",0,0,120,0,0,0,1
66,0,0,0,0,"T",0,"N",0,0,320,0,0,0,1
50,2,0,1,2200,"V",45000,"O",8928,7264,492,316,0,40,0
27,0,0,1,0,"R",0,"O",23392,4,0,200,0,0,1
64,0,0,1,0,"P",22500,"N",0,0,320,400,0,0,0
60,0,0,0,0,"V",20100,"P",0,0,480,216,0,0,0
59,0,0,1,0,"V",30699,"P",0,0,0,0,0,0,0
48,2,1,1,0,"P",14864,"O",23392,26464,528,0,0,0,0
30,0,0,1,0,"V",12000,"U",0,0,0,0,0,0,0
46,2,0,1,0,"B",36464,"O",63392,34464,960,0,0,1200,0
60,0,0,0,0,"U",14400,"P",0,0,160,0,0,0,0
62,0,0,1,0,"P",15000,"P",0,0,0,0,0,0,0
68,0,0,1,0,"T",0,"P",0,0,0,0,0,0,0
29,0,0,1,2488,"P",31500,"O",28928,16000,320,500,0,80,0
42,0,0,1,0,"E",30000,"O",43392,22464,800,372,0,0,0
49,4,0,1,0,"W",15660,"O",18464,40000,340,0,0,0,0
46,2,0,1,2800,"P",61500,"O",48928,40000,320,0,0,400,0
54,0,0,1,0,"E",60000,"U",0,0,408,0,0,0,0
65,0,0,0,0,"V",18000,"U",0,0,288,0,0,0,0
38,0,0,1,0,"P",27000,"U",0,0,0,0,0,0,1
64,0,0,1,0,"V",36000,"P",0,0,0,0,0,0,0
60,0,0,1,0,"B",25500,"F",0,0,520,0,0,0,1
58,0,0,1,5600,"P",36600,"O",62464,33264,760,120,0,0,0
67,0,0,1,0,"V",12537,"P",0,0,400,0,0,0,0
35,1,0,1,7367,"P",18087,"U",0,0,0,0,0,0,0
65,0,0,1,0,"V",26400,"F",0,0,320,0,0,0,0
49,4,0,1,1500,"P",30000,"O",43392,14464,0,0,0,0,0
63,0,0,1,0,"P",21000,"P",0,0,640,0,0,0,0
11,0,0,1,0,"R",0,"O",12928,4,0,0,0,0,1
42,0,0,1,0,"V",19092,"O",0,0,0,216,0,0,0
29,0,0,1,11649,"P",45000,"O",28928,26000,820,300,0,0,0
69,0,0,1,0,"T",0,"P",0,0,0,0,0,0,1
54,3,0,1,0,"E",37856,"O",28032,4,0,0,0,0,0
18,0,0,1,2461,"R",16131,"O",46464,4,0,0,0,0,0
57,1,1,1,0,"P",27000,"U",0,0,520,0,0,0,0
49,0,0,1,0,"V",46500,"O",54464,10464,640,0,0,0,0
18,2,0,1,0,"R",0,"O",17856,0,0,0,0,0,0
46,0,0,1,0,"E",43200,"O",54464,24000,340,0,0,0,0
62,1,0,1,0,"E",9360,"O",0,0,0,0,0,0,1
64,0,0,1,0,"P",0,"P",0,0,0,0,0,0,0
27,0,0,1,0,"P",20700,"O",46464,11000,192,236,0,0,0
41,2,0,1,3000,"P",31500,"O",8928,34000,240,0,0,0,0
55,0,0,1,0,"V",43632,"O",2928,34464,684,0,328,300,0
40,0,0,1,30000,"W",0,"O",32320,54464,0,0,0,0,0
37,0,0,1,0,"P",54464,"O",6784,4,0,0,0,0,0
30,0,0,1,0,"P",30000,"O",34464,4,0,0,52,0,1
66,0,0,1,0,"T",0,"P",0,0,0,0,0,0,1
64,0,0,1,0,"B",19290,"P",0,0,0,0,32,0,0
58,2,0,1,0,"W",0,"U",0,0,0,0,0,0,1
30,1,0,1,300,"P",27000,"O",13568,20000,200,0,0,240,1
67,0,0,1,0,"P",6024,"P",16000,6000,0,0,0,0,1
40,1,0,1,5227,"P",11733,"U",0,0,280,184,76,0,0
22,0,0,1,2200,"E",58500,"O",56928,36,0,0,0,0,1
63,0,0,1,0,"P",14820,"P",0,0,320,140,0,0,1
69,0,0,1,0,"P",15000,"P",0,0,0,0,0,40,0
29,0,0,1,0,"V",15000,"O",61248,54464,0,0,0,0,0
35,0,0,1,0,"E",18000,"P",0,0,0,0,0,0,0
56,2,1,1,0,"E",36000,"O",28464,2464,588,108,0,0,1
46,1,0,1,5000,"W",5850,"U",0,0,0,0,0,0,0
64,0,0,1,0,"E",0,"P",0,0,0,0,400,0,1
41,1,0,1,4000,"P",33000,"U",0,0,552,280,0,160,1
55,0,0,1,0,"P",46562,"F",0,0,0,0,0,0,0
51,0,0,1,0,"P",55131,"O",32320,48928,1600,0,0,0,0
68,0,0,1,0,"P",7200,"P",0,0,80,0,0,0,1
53,0,0,1,14700,"V",44100,"O",8928,34464,704,624,0,0,0
69,0,0,1,0,"P",7488,"P",0,0,0,0,0,0,0
63,0,0,1,0,"V",18000,"P",0,0,0,0,0,0,0
52,0,0,1,15000,"P",30000,"O",23392,26464,664,0,0,80,0
52,0,0,1,7000,"P",39000,"O",57856,4928,1000,560,360,180,0
59,0,0,0,0,"M",30000,"O",60464,0,480,428,0,0,0
34,0,0,1,9000,"P",24000,"U",0,0,468,400,0,0,0
58,0,0,1,9600,"W",0,"O",46464,12464,604,0,0,0,0
68,0,0,1,0,"V",15900,"P",0,0,0,0,0,0,0
42,0,1,1,12000,"M",7964,"U",0,0,800,0,0,0,0
51,3,0,1,0,"P",51000,"O",12320,4928,1108,0,0,0,0
38,0,0,1,5600,"V",42000,"O",20928,4,0,0,0,0,0
66,0,0,1,0,"P",22200,"F",0,0,352,0,0,0,0
53,0,1,1,0,"P",9464,"O",57856,54464,1000,0,0,0,0
14,0,0,1,0,"R",0,"U",0,0,584,0,0,0,1
56,0,0,1,0,"V",33000,"P",0,0,0,920,0,0,1
55,2,0,1,0,"V",31500,"O",60928,54464,960,0,0,0,0
18,0,0,0,0,"R",0,"O",14464,4,0,0,0,0,1
62,0,0,1,0,"P",21000,"P",0,0,0,0,0,0,0
8,0,0,1,0,"R",0,"U",0,0,0,0,0,0,1
60,0,0,1,0,"T",0,"P",0,0,0,0,0,0,1
61,2,0,1,0,"P",16500,"N",0,0,0,0,0,0,1
66,0,0,1,0,"T",6000,"P",0,0,160,0,0,0,0
18,0,0,1,2000,"R",24000,"O",3392,0,0,0,0,0,0
62,1,0,1,0,"P",19500,"F",0,0,388,0,0,0,0
64,0,0,0,0,"P",20100,"F",0,0,480,0,0,0,1
40,2,0,1,0,"V",64800,"O",17856,48000,368,0,0,0,1
65,0,0,1,0,"T",5538,"P",0,0,400,0,0,0,0
66,0,0,0,0,"P",13800,"F",0,0,272,0,0,32,0
61,0,0,1,0,"P",33000,"O",38464,24064,764,0,0,60,0
42,1,0,1,7000,"E",9000,"O",20928,22464,880,0,0,0,1
28,0,0,1,0,"R",0,"N",0,0,0,0,0,0,0
56,0,0,1,0,"P",24900,"U",0,0,0,0,552,0,0
55,0,0,1,0,"P",29700,"F",0,0,260,0,0,0,0
22,0,0,1,0,"R",45000,"O",3392,9600,1240,0,0,160,0
41,1,0,1,0,"E",0,"U",0,0,368,0,0,0,1
51,2,0,1,2000,"P",24000,"O",8928,40000,368,200,0,0,1
55,1,0,1,0,"E",9464,"O",63392,23392,1400,0,0,0,1
37,0,1,1,0,"M",13964,"O",40928,28928,1520,656,0,0,0
42,0,0,1,1230,"P",39000,"O",54464,40000,0,0,0,0,1
62,0,0,1,8725,"V",27969,"O",26464,21864,688,320,0,260,0
61,0,0,1,2000,"P",45000,"O",62464,46464,840,0,580,0,0
43,3,0,1,1872,"P",21000,"U",0,0,388,0,100,0,1
58,2,0,1,0,"B",45000,"O",17856,52464,800,0,0,0,0
42,3,0,1,1680,"B",24000,"O",3392,46000,292,0,0,0,1
66,0,0,1,0,"E",0,"P",0,0,0,0,0,0,0
60,0,0,0,0,"V",19323,"N",0,0,0,0,0,0,1
62,0,0,1,0,"P",15000,"P",0,0,340,0,0,0,0
56,0,0,1,0,"E",18000,"P",0,0,0,0,0,0,1
41,2,0,1,0,"P",27000,"U",0,0,580,100,56,0,0
63,0,0,1,0,"E",15000,"P",0,0,240,0,0,200,0
66,0,0,1,0,"P",17010,"P",0,0,0,0,0,120,0
64,0,0,1,0,"P",24300,"P",0,0,200,160,0,0,1
52,0,0,1,11500,"V",36000,"O",60464,60464,0,480,776,0,0
43,2,0,1,0,"P",57000,"O",48928,44000,320,620,0,320,0
10,1,0,1,0,"R",22500,"O",6928,4,0,0,0,0,0
67,0,0,1,0,"P",13800,"P",0,0,480,116,0,0,1
61,0,0,1,0,"P",19500,"P",0,0,400,0,0,0,0
59,0,0,1,0,"P",9464,"F",0,0,0,0,0,0,0
52,2,0,1,1000,"P",9464,"O",16960,54464,1200,0,0,0,0
57,1,0,1,0,"W",0,"O",32928,0,0,0,0,0,1
3,0,0,1,0,"R",0,"O",28928,4,0,0,0,0,1
57,1,0,1,0,"P",16200,"O",2992,14928,0,0,0,0,0
23,0,0,1,0,"P",60000,"N",0,0,0,0,0,0,0
62,2,0,1,0,"E",20160,"O",34464,32464,720,0,0,0,1
67,0,0,1,0,"T",5400,"P",0,0,0,0,0,0,1
58,0,0,1,10300,"P",54000,"O",63392,18464,560,560,0,0,0
27,0,0,1,10192,"W",0,"O",8928,4,0,0,0,0,1
57,1,0,0,4500,"P",22500,"U",0,0,320,56,0,0,0
56,2,0,1,0,"P",54000,"O",22464,54800,500,0,0,120,0
60,0,0,1,0,"P",30000,"P",0,0,0,800,0,0,0
63,0,0,1,0,"P",31500,"O",44464,39464,840,0,0,0,0
63,0,0,1,0,"V",20043,"F",0,0,400,0,0,0,1
15,0,0,1,0,"R",39000,"O",48928,4,0,0,0,0,1
69,0,0,1,0,"T",0,"P",0,0,0,0,0,0,0
52,2,0,1,0,"P",50256,"O",30464,0,540,200,0,0,0
64,0,0,1,0,"V",19818,"F",0,0,280,0,0,0,0
50,0,0,1,0,"V",15588,"O",0,0,0,0,0,0,0
42,1,0,1,20000,"W",0,"N",0,0,0,0,0,0,0
49,2,0,1,2300,"E",36000,"O",8928,48000,348,680,0,0,0
63,0,0,1,0,"U",0,"P",0,0,0,0,0,0,0
62,2,0,0,8500,"V",24000,"U",0,0,380,0,0,0,0
63,0,0,1,7000,"E",36000,"O",22464,2464,320,0,0,0,0
63,0,0,1,0,"P",20100,"P",0,0,400,0,0,0,0
12,0,0,1,0,"R",0,"O",54464,4,0,0,0,0,1
47,0,0,1,0,"P",12464,"O",17856,44000,364,1040,0,0,1
48,3,0,1,0,"P",9464,"F",0,0,1000,0,0,0,0
19,0,1,1,0,"R",0,"O",0,0,0,0,0,0,0
59,0,0,1,13000,"P",25500,"O",30464,0,680,0,0,400,0
24,0,0,1,0,"V",10311,"U",0,0,448,0,0,0,0
65,0,0,1,0,"P",18000,"F",0,0,0,0,0,800,0
47,0,0,1,0,"V",14976,"O",0,0,0,320,0,0,0
67,0,0,1,0,"P",12000,"P",0,0,160,200,0,0,0
34,0,0,1,0,"P",0,"O",4464,0,180,0,0,0,1
60,0,0,1,6500,"V",24000,"O",0,0,468,240,0,0,1
40,1,0,1,0,"E",37440,"O",54464,34464,760,436,312,0,1
69,0,0,1,0,"T",5400,"P",0,0,0,0,0,0,1
18,0,0,1,0,"R",0,"U",0,0,192,0,0,0,1
51,2,0,1,2000,"P",30000,"O",8928,38464,740,160,120,20,0
59,0,0,1,0,"P",18300,"O",22464,22464,568,0,0,0,1
62,0,0,1,0,"P",30000,"P",0,0,0,0,0,0,0
36,0,0,1,0,"V",40392,"O",12320,0,1760,372,76,280,0
67,0,0,1,0,"P",18756,"F",0,0,440,0,0,0,0
64,0,0,1,0,"V",22500,"F",0,0,480,0,0,0,0
53,3,0,1,10000,"P",13500,"O",54464,26464,640,700,0,0,0
31,0,0,1,0,"V",0,"P",0,0,0,0,0,0,1
39,0,0,1,0,"V",23232,"U",0,0,412,0,0,0,0
47,2,0,0,3000,"P",42000,"O",14464,26000,244,0,200,0,0
64,0,0,0,0,"P",21000,"F",0,0,424,0,0,0,0
19,0,0,1,0,"R",0,"U",0,0,68,0,0,0,0
41,5,0,1,0,"N",60000,"O",0,0,0,0,0,0,0
99,2,0,1,11070,"P",36000,"O",35392,28928,1576,0,0,1600,0
30,0,0,1,0,"P",13800,"O",17856,0,0,0,0,0,0
54,2,0,1,0,"W",0,"U",0,0,0,0,0,0,1
58,0,0,1,0,"V",25800,"F",0,0,0,0,1196,0,0
59,0,0,1,17000,"V",21000,"O",28928,0,0,0,0,0,1
52,0,0,1,0,"P",28575,"O",48464,0,800,0,0,200,0
59,0,0,1,0,"P",25350,"P",0,0,0,0,0,0,0
41,2,0,1,20000,"V",18000,"O",63392,62000,440,620,0,0,0
39,1,0,1,2000,"P",54000,"O",37856,40000,480,0,0,0,0
18,0,0,0,0,"R",8742,"U",0,0,380,0,0,120,0
57,2,0,1,23000,"W",0,"O",3392,28928,0,0,0,0,0
43,1,1,1,0,"V",51000,"O",23392,4,0,440,120,0,0
50,2,0,1,0,"E",36000,"O",48928,0,0,0,0,0,0
33,0,0,1,0,"R",18000,"U",0,0,248,0,0,0,0
67,0,0,1,0,"P",12516,"P",0,0,0,0,0,0,0
69,0,0,0,0,"P",13500,"O",38464,4,0,0,0,0,1
62,1,0,1,0,"V",36600,"U",28928,0,0,428,80,80,0
42,2,0,1,0,"E",0,"U",0,0,0,0,0,0,0
68,0,0,0,0,"T",0,"P",0,0,0,0,0,0,0
31,0,0,1,2704,"P",18204,"U",0,0,424,0,408,0,1
48,0,0,1,0,"P",35271,"O",54464,52000,380,0,0,0,1
51,0,0,1,0,"M",45000,"O",51392,28928,1888,0,0,0,0
60,2,0,1,4500,"W",0,"O",8928,59200,600,80,0,0,0
26,2,0,1,10000,"W",0,"O",21856,4,0,0,0,0,1
33,0,0,1,0,"P",15990,"U",0,0,0,0,0,0,1
30,0,0,1,0,"R",13140,"O",28928,0,0,0,0,0,1
68,0,0,0,6000,"V",18000,"F",0,0,600,0,160,0,1
69,0,0,1,0,"T",0,"P",0,0,0,0,0,0,0
66,0,0,1,0,"P",11232,"P",0,0,0,0,0,0,0
99,0,0,0,0,"Z",0,"N",0,0,0,0,0,0,1
64,0,0,1,0,"T",0,"F",0,0,1000,0,0,0,1
34,2,0,1,0,"E",11520,"O",14464,4,0,0,0,0,1
40,0,0,1,1800,"P",30000,"O",26464,0,368,0,0,0,1
44,2,0,1,0,"E",15000,"O",35392,4,0,0,0,0,0
66,0,0,1,0,"P",26406,"P",0,0,0,0,0,0,0
34,0,0,1,0,"Z",0,"N",0,0,0,0,0,0,1
60,0,0,0,6000,"N",18000,"O",48928,4,0,0,0,0,0
58,2,0,1,6000,"E",18000,"O",0,0,0,0,0,0,1
68,0,0,1,0,"P",15000,"P",0,0,0,640,0,0,0
68,0,0,1,0,"T",0,"F",0,0,120,0,0,0,0
56,0,0,1,0,"N",0,"U",0,0,1400,0,0,0,0
24,0,0,1,0,"R",60000,"N",32320,4,0,0,0,0,1
30,0,0,1,3776,"V",30000,"O",60000,27720,372,0,0,0,0
12,0,0,1,0,"R",0,"O",14464,4,0,0,0,0,1
21,0,0,1,0,"E",54000,"O",43392,4,0,0,0,0,0
69,0,0,1,0,"T",0,"P",0,0,0,0,0,0,1
62,0,0,1,0,"P",12000,"P",0,0,0,48,60,0,0
68,0,0,1,0,"T",0,"P",0,0,0,0,0,0,0
46,0,0,1,7000,"E",15000,"O",8928,30464,672,0,0,40,0
46,3,0,1,1900,"V",34500,"U",0,0,0,744,0,120,1
14,0,0,1,0,"R",0,"O",0,0,0,0,0,0,0
33,0,0,1,5045,"E",0,"U",0,0,440,436,0,0,0
40,3,0,1,7500,"V",37500,"O",3392,34464,0,0,0,0,1
9,0,0,0,0,"R",0,"O",43392,4,0,0,0,0,1
52,2,0,1,2500,"P",22500,"O",928,6464,536,160,0,0,0
61,0,0,1,8000,"P",12600,"U",0,0,420,104,0,100,0
54,0,0,1,0,"P",23100,"O",12928,0,0,0,0,120,1
54,1,0,1,2500,"P",30000,"O",22464,18464,420,0,60,0,0
43,0,0,1,4500,"P",33000,"O",48928,30464,660,0,0,200,0
64,0,0,1,0,"V",24327,"P",0,0,320,0,0,0,0
66,0,0,1,0,"U",0,"P",46784,0,0,224,0,80,1
62,0,0,1,0,"P",24600,"P",0,0,0,264,0,60,0
69,0,0,1,0,"T",0,"P",0,0,0,0,0,0,0
55,2,0,1,0,"P",0,"N",0,0,480,0,0,0,1
52,2,0,1,1955,"P",33000,"O",8928,22464,580,316,40,48,0
99,0,0,1,0,"R",0,"U",0,0,0,0,0,0,1
52,0,0,1,0,"P",48000,"O",28928,34464,800,0,0,0,0
